idx,avg_neg_mean,avg_neg_std,degree_mean,fiedler_mean,graph_type,pseudo_count
0,0.050943801991562246,0.0014775588449390162,4.2,0.08063010169791814,smallworld,24
1,0.10610334592915802,0.017211591395550018,3.8,0.07401453697062951,smallworld,24
2,0.1079322564035698,0.011524417670678348,3.8,0.05936372743297946,smallworld,24
3,0.08298868588284304,0.019921930080657485,4.0,0.06316267199260181,smallworld,24
4,0.05293519194594402,0.0039688621208449,4.0,0.04443672105337596,smallworld,24
5,0.06387175764561942,0.030200335285108952,4.2,0.05782892457090947,smallworld,24
6,0.05094380199156222,0.001477558844939016,3.8,0.07385880974594791,smallworld,24
7,0.05998025141041761,0.021502250414071757,4.4,0.07245194042246597,smallworld,24
8,0.05094380199156223,0.0014775588449390275,4.0,0.11359006384280859,smallworld,24
9,0.06036975952734871,0.02237273229187292,4.4,0.12669802117076784,smallworld,24
10,0.05094380199156222,0.0014775588449390197,4.8,0.13696687191566043,smallworld,24
11,0.05094380199156221,0.0014775588449390227,4.2,0.1404678685953174,smallworld,24
12,0.05094380199156222,0.0014775588449390251,3.6,0.17137432197499652,smallworld,24
13,0.05094380199156222,0.0014775588449390195,4.2,0.15869873051920885,smallworld,24
14,0.05094380199156222,0.0014775588449390251,3.8,0.1688936539177258,smallworld,24
15,0.05094380199156222,0.0014775588449390201,3.6,0.15012581021439775,smallworld,24
16,0.05094380199156222,0.0014775588449390193,4.0,0.17723710617523264,smallworld,24
17,0.05094380199156222,0.001477558844939017,3.6,0.14576843991110136,smallworld,24
18,0.05094380199156222,0.0014775588449390201,3.8,0.15127127386094866,smallworld,24
19,0.05094380199156222,0.0014775588449390227,4.4,0.14063491792100935,smallworld,24
20,0.05094380199156222,0.0014775588449390147,4.2,0.12057455897010232,smallworld,24
21,0.05094380199156223,0.0014775588449390245,4.6,0.11533005076211553,smallworld,24
22,0.05094380199156222,0.0014775588449390201,4.2,0.09107238128916448,smallworld,24
23,0.05094380199156222,0.0014775588449390178,3.8,0.0971220839142029,smallworld,24
0,0.04919774312993138,0.0011027586232721098,4.2,0.08063010169791814,smallworld,32
1,0.10311462667749789,0.017405230885342845,3.8,0.07401453697062951,smallworld,32
2,0.10484168548187833,0.011949085394067678,3.8,0.05936372743297946,smallworld,32
3,0.08019463113069479,0.019123684428791646,4.0,0.06316267199260181,smallworld,32
4,0.05110492490821802,0.003546917254875709,4.0,0.04443672105337596,smallworld,32
5,0.06159895681948506,0.028676216505405062,4.2,0.05782892457090947,smallworld,32
6,0.04919774312993135,0.0011027586232721148,3.8,0.07385880974594791,smallworld,32
7,0.05783237550092289,0.020256288865748432,4.4,0.07245194042246597,smallworld,32
8,0.04919774312993136,0.001102758623272126,4.0,0.11359006384280859,smallworld,32
9,0.05820766727567502,0.021095141134625253,4.4,0.12669802117076784,smallworld,32
10,0.04919774312993136,0.0011027586232721122,4.8,0.13696687191566043,smallworld,32
11,0.04919774312993135,0.0011027586232721183,4.2,0.1404678685953174,smallworld,32
12,0.04919774312993136,0.0011027586232721205,3.6,0.17137432197499652,smallworld,32
13,0.04919774312993136,0.0011027586232721157,4.2,0.15869873051920885,smallworld,32
14,0.04919774312993136,0.0011027586232721228,3.8,0.1688936539177258,smallworld,32
15,0.04919774312993135,0.001102758623272117,3.6,0.15012581021439775,smallworld,32
16,0.04919774312993135,0.0011027586232721198,4.0,0.17723710617523264,smallworld,32
17,0.04919774312993136,0.0011027586232721137,3.6,0.14576843991110136,smallworld,32
18,0.04919774312993135,0.0011027586232721152,3.8,0.15127127386094866,smallworld,32
19,0.04919774312993135,0.001102758623272122,4.4,0.14063491792100935,smallworld,32
20,0.04919774312993136,0.001102758623272112,4.2,0.12057455897010232,smallworld,32
21,0.04919774312993136,0.0011027586232721205,4.6,0.11533005076211553,smallworld,32
22,0.04919774312993135,0.0011027586232721152,4.2,0.09107238128916448,smallworld,32
23,0.04919774312993136,0.0011027586232721116,3.8,0.0971220839142029,smallworld,32
24,0.04919774312993135,0.0011027586232721244,3.6,0.07246646630083349,smallworld,32
25,0.04919774312993136,0.001102758623272123,4.2,0.06503125821459856,smallworld,32
26,0.04919774312993136,0.0011027586232721133,4.2,0.04750990816755337,smallworld,32
27,0.04919774312993135,0.0011027586232721166,4.2,0.05413455815337785,smallworld,32
28,0.04919774312993135,0.0011027586232721166,3.4,0.0388107518432861,smallworld,32
29,0.04919774312993135,0.0011027586232721085,3.8,0.06512824504198991,smallworld,32
30,0.04919774312993136,0.0011027586232721233,4.0,0.0637841015593384,smallworld,32
31,0.049949550416821274,0.002150867234015113,3.8,0.0954570673261566,smallworld,32
0,0.04818166558506013,0.0008899081513374823,4.2,0.08063010169791814,smallworld,40
1,0.10139139916242704,0.01755293878392246,3.8,0.07401453697062951,smallworld,40
2,0.10305826380553693,0.012240861800336523,3.8,0.05936372743297946,smallworld,40
3,0.07857989267891231,0.01870146966840711,4.0,0.06316267199260181,smallworld,40
4,0.05004103697605402,0.0033256953748405436,4.0,0.04443672105337596,smallworld,40
5,0.06027223657759893,0.027770435367875778,4.2,0.05782892457090947,smallworld,40
6,0.0481816655850601,0.0008899081513374812,3.8,0.07385880974594791,smallworld,40
7,0.05657932892782423,0.019514811652021815,4.4,0.07245194042246597,smallworld,40
