graph_type,pseudo_count,mean_avg_neg_mean,max_avg_neg_mean,std_avg_neg_mean
smallworld,24,0.0583427451083941,0.1079322564035698,0.016609155346271904
smallworld,32,0.05461219541654831,0.10484168548187833,0.01430056686269997
smallworld,40,0.05247317795117677,0.10305826380553693,0.012739367396707653
erdos,24,0.053428296271360344,0.06711193331815049,0.006773552268438094
erdos,32,0.051629779452066225,0.06618303651451976,0.00619121914759966
erdos,40,0.05335203822583666,0.08291241575879078,0.007539138651982748
